model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,DependentDemand,calcRelativeDuration,3465,3948
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointInPeriods,7,8
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcChildrenPISP,4795,5952
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcLatestFrozenPeriodEnd,564,1
supplychain-planner,性能测试1/3,PlanOrder,calcRemainQuantity,3668,13853
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcHasPreviousAndBelongToSameShiftPattern,7,35
supplychain-planner,性能测试1/3,SupplyChain,calcProductionQuantity,1770,7
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcReplaceNewSupplyQuantity,17098,41664
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcNewSupplyQuantity,22680,49576
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcPhysicalInventoryLevelEnd,5114,23808
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitId,87,35
supplychain-planner,性能测试1/3,UnitPeriodTime,calcCapacityLoadPercentage,371,2023
supplychain-planner,性能测试1/3,Product,calcBillOfMaterialsAsRM,2919,1989
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcMonthlyNewSupplyQuantityNDiffTag,1507,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcMinimumInventoryLevel,23370,41664
supplychain-planner,性能测试1/3,OutputProduct,calcSupplyChainPlanner,2578,1979
supplychain-planner,性能测试1/3,ProductRoutingStep,calcIsFirst,1913,1979
supplychain-planner,性能测试1/3,PlanOrder,calcFirstStep,24103,13853
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalMinCapacity,17,35
supplychain-planner,性能测试1/3,PlanOrder,calcMinUserSetQuantity,9140,25727
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitPeriodTimes,1191,390
supplychain-planner,性能测试1/3,ProductRoutingStep,calcQuantityOutWithoutByProductsFactor,2336,3958
supplychain-planner,性能测试1/3,PeriodTask,calcIsLastPeriodTask,4072,7912
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcDetectProductRoutingInDays,1581322,1022644
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcChildrenUnitPeriods,6,35
supplychain-planner,性能测试1/3,PlanOrder,calcIsForProduction,48864,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcSystemFulfilledQuantity,44231,45612
supplychain-planner,性能测试1/3,SupplyChainUnit,calcPlantId,292,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcProductRoutingStepOnUnits,1572,585
supplychain-planner,性能测试1/3,DependentDemand,calcFirstPriority,2834,3948
supplychain-planner,性能测试1/3,Product,calcProductLevel,6546,3973
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcTotalFulfilledSalesDemandQuantity,1756,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcProductInStockingPointInPeriods,76354,53566
supplychain-planner,性能测试1/3,Product,calcMinInputQuantity,2646,1989
supplychain-planner,性能测试1/3,Period,calcScp,11,7
